time	geo	champ	r	rb
2016-01-01	IT	md	0.051442014920999986	0.05845075790544935
2016-01-01	IT	mdhfi	0.047634627964771505	0.053516643817774504
2016-01-01	IT	mdhi	0.07334655131524707	0.09050206775889236
2016-01-01	IT	mdhifi	0.06465884623494104	0.07938462189532017
2016-01-01	IT	mdhim	0.07175771697344173	0.0857599438268935
2016-01-01	IT	mdhimfi	0.05240294252920688	0.06433748854360569
2016-01-01	IT	tb	0.05171977915465387	0.05779890706860319
2016-01-01	ES	md	0.06720981128357148	0.0737761040178226
2016-01-01	ES	mdhfi	0.0665745593071947	0.07212910640098548
2016-01-01	ES	mdhi	0.07969803763185274	0.09154399051859195
2016-01-01	ES	mdhifi	0.07893307345467898	0.08909587355685317
2016-01-01	ES	mdhim	0.0773685233703199	0.08742819120830635
2016-01-01	ES	mdhimfi	0.06671048582116959	0.07529960192227693
2016-01-01	ES	tb	0.06256161241112865	0.06806434154621041
2016-01-01	NL	md	0.058308245109434345	0.07299859426529018
2016-01-01	NL	mdhfi	0.045876514679593104	0.05736065157186954
2016-01-01	NL	mdhi	0.1311979791681196	0.16568671750978153
2016-01-01	NL	mdhifi	0.10562178987028065	0.13357857735440049
2016-01-01	NL	mdhim	0.10566895759037478	0.1314057662088519
2016-01-01	NL	mdhimfi	0.07755340676256617	0.09808083878386943
2016-01-01	NL	tb	0.0483670354771826	0.05993225569174927
2016-01-01	BE	md	0.03581655020907264	0.04842021811150783
2016-01-01	BE	mdhfi	0.03127682873242155	0.0415199780832839
2016-01-01	BE	mdhi	0.05073396743806763	0.07754871212183428
2016-01-01	BE	mdhifi	0.04171328293252006	0.06425762038968114
2016-01-01	BE	mdhim	0.0538736258224704	0.07773278489836444
2016-01-01	BE	mdhimfi	0.03685118810586579	0.05676776052477437
2016-01-01	BE	tb	0.037281389342726526	0.04859870142814212
2015-01-01	DE	md	0.04624425688799947	0.0546396908167351
2015-01-01	DE	mdhfi	0.04496464623469532	0.05242170103190459
2015-01-01	DE	mdhi	0.08225748398801352	0.10478231602035298
2015-01-01	DE	mdhifi	0.08058661211253183	0.10124698649838393
2015-01-01	DE	mdhim	0.07956823802129634	0.09655218970344602
2015-01-01	DE	mdhimfi	0.0599949991940105	0.07537620349251453
2015-01-01	DE	tb	0.04865246252281414	0.05583260356734855
2015-01-01	FR	md	0.03313713993545817	0.04204906920906809
2015-01-01	FR	mdhfi	0.034178554735469595	0.04074543348158067
2015-01-01	FR	mdhi	0.044056593728095075	0.07917935032775009
2015-01-01	FR	mdhifi	0.04900484535388722	0.07605126580548803
2015-01-01	FR	mdhim	0.036811445567646935	0.05648321417903299
2015-01-01	FR	mdhimfi	0.0267370121624579	0.04149352179621474
2015-01-01	FR	tb	0.0361936929972781	0.04390724801984813
2015-01-01	IT	md	0.044702145297916183	0.05117673415753371
