type;thematique_fr;thematique_en;title_fr;title_en;date_publication;date_mise_a_jour;lien;piece_jointe;sheet_index;row_index
archive;Taux directeurs historique mensuel -1960 à 1998;Taux directeurs historique mensuel -1960 à 1998;Taux_directeurs_de_la_Banque_de_france_de_1960_à_1998.pdf;Taux_directeurs_de_la_Banque_de_france_de_1960_à_1998.pdf;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/8d967bd6d31cbd4f44b29d9c5ff3b967;1;133
archive;Taux interbancaire de la Zone euro (archive);Taux interbancaire de la Zone euro (archive);Taux_interbancaire_de_la_Zone_euro_archive.csv;Taux_interbancaire_de_la_Zone_euro_archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/8d844769ab667067f0e045a92c2998a5;1;140
archive;Taux interbancaire de la Zone euro (archive);Taux interbancaire de la Zone euro (archive);Taux_interbancaire_de_la_Zone_euro_archive.xml;Taux_interbancaire_de_la_Zone_euro_archive.xml;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/6e3a80e2eeedf5f68d8cf7598c8e0049;1;141
archive;Taux marchés monétaires historique LIBOR annuel;Taux marchés monétaires historique LIBOR annuel;Libor_annuel_devises.pdf;Libor_annuel_devises.pdf;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/6260db6b463a2300bd016d54286d1cbe;1;142
archive;Taux marchés monétaires historique LIBOR mensuel historique;Taux marchés monétaires historique LIBOR mensuel historique;Libor_mensuel_devises_.pdf;Libor_mensuel_devises_.pdf;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/4b697580e396a38cc59accf90cc40299;1;144
archive;Titres donnés en pension par les établissements de crédit auprès de la clientèle (Archive);Titres donnés en pension par les établissements de crédit auprès de la clientèle (Archive);tmf_trim_detail_fr_titrpensec.csv;tmf_trim_detail_fr_titrpensec.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/d1d6fe1140abb70096accf473e5b6d16;1;148
archive;Titres d'OPC (Archive);Titres d'OPC (Archive);Titres_d_OPC_Archive.csv;Titres_d_OPC_Archive.csv;2024-07-11;2024-07-11;;https://webstat.banque-france.fr/api/explore/v2.1/catalog/datasets/tableaux_rapports_preetablis/files/93c85068aa9dfec6607838a3796cebf8;1;149
rapport;Comptes Nationaux Financiers;National Financial Accounts;Comptes nationaux financiers trimestriels (base 2020);Quarterly national financial accounts (2020 base);2024-10-18;2024-10-25;/explore/dataset/tableaux_rapports_preetablis/files/130504bf99035400fb0a61ef7ffc6cf2/download/;;1;153
rapport;DWA1 Europe hors France;DWA1 Europe outside France;Comptes distributionnels du patrimoine des ménages zone euro hors France;Distributional accounts of household wealth in the eurozone excluding France;2024-10-28;2024-10-29;/explore/dataset/tableaux_rapports_preetablis/files/277e174dd5a4a38f6133b40aae4ab91a/download/;;1;155
rapport;API;API;Guide de migration de l'API Webstat;Webstat API Migration Guide;2024-11-26;2024-11-26;/fr/pages/guide-migration-api-archive/;;1;156
rapport;Balance des paiements > Balance des paiements et position extérieure;Balance of payments > Balance of payments and external position;Réserves de change;Foreign exchange reserves;2024-10-24;2024-10-24;/fr/selection/5390008;;1;159
rapport;Balance des paiements > Implantations bancaires internationales;Balance of payments > International banking establishments;Implantations françaises à l'étranger (outward FATS);French establishments abroad (outward FATS);2024-10-24;2024-10-24;/fr/selection/5385611;;1;161
rapport;Chiffres-clefs > Défaillances d'entreprise (national);Key figures > Business failures (national);Stat info Les défaillances d'entreprise en France;Stat info Business failures in France;2024-10-24;2024-10-24;/fr/selection/5384339;;1;162
rapport;Chiffres-clefs > Enquêtes de conjoncture;Key figures > Business surveys;Investissement et rentabilité dans l'industrie - Conjoncture travaux publics et commerce de gros;Investment and profitability in industry - Economic situation of public works and wholesale trade;2024-10-24;2024-10-24;/fr/selection/5385684;;1;163
rapport;Chiffres-clefs > Enquêtes de conjoncture;Key figures > Business surveys;Stat info Accès des entreprises au crédit;Stat info Access of companies to credit;2024-10-24;2024-10-24;/fr/selection/5384547;;1;164
rapport;Chiffres-clefs > Enquêtes de conjoncture > Commerce de détail;Key figures > Business surveys > Retail trade;Enquête mensuelle de conjoncture Commerce de détail;Monthly economic survey Retail trade;2024-10-24;2024-10-24;/fr/selection/5390004;;1;166
rapport;Chiffres-clefs > Enquêtes de conjoncture > Industrie, Services et Bâtiment;Key figures > Business surveys > Industry, Services and Construction;Conjoncture Services marchands;Economic situation Market services;2024-10-24;2024-10-24;/fr/selection/5390001;;1;170
rapport;Chiffres-clefs > Enquêtes de conjoncture > Tous secteurs;Key figures > Business surveys > All sectors;Conjoncture Tous secteurs;Economic situation All sectors;2024-10-24;2024-10-24;/fr/selection/5390000;;1;172
rapport;Chiffres-clefs > Tableau de bord;Key figures > Dashboard;Principaux indicateurs statistiques (France);Main statistical indicators (France);2024-10-24;2024-10-24;/fr/selection/5384861;;1;173
rapport;Crédit > Crédit;Credit > Credit;Stat info Accès des entreprises au crédit;Stat info Access of companies to credit;2024-10-24;2024-10-24;/fr/selection/5384547;;1;178
rapport;Crédit > Crédit;Credit > Credit;Stat info Crédits aux particuliers;Stat info Credits to individuals;2024-10-24;2024-10-24;/fr/selection/5384670;;1;180
rapport;Crédit > Crédit;Credit > Credit;Stat info Financement des micro-entreprises;Stat info Financing of micro-enterprises;2024-10-24;2024-10-24;/fr/selection/5384934;;1;184
rapport;Crédit > Crédit;Credit > Credit;Stat info Taux des crédits aux entreprises;Stat info Business credit rates;2024-10-24;2024-10-24;/fr/selection/5384674;;1;187
rapport;Crédit > Crédit > Régions;Credit > Credit > Regions;Auvergne-Rhône-Alpes;Auvergne-Rhône-Alpes;2024-10-24;2024-10-24;/fr/selection/5385804;;1;188
rapport;Crédit > Crédit > Régions;Credit > Credit > Regions;Grand Est;Grand Est;2024-10-24;2024-10-24;/fr/selection/5385810;;1;193
rapport;Crédit > Crédit > Régions;Credit > Credit > Regions;Pays de La Loire;Pays de La Loire;2024-10-24;2024-10-24;/fr/selection/5385815;;1;199
rapport;Crédit > Crédit > Régions;Credit > Credit > Regions;Provence-Alpes-Côte d'azur;Provence-Alpes-Côte d'azur;2024-10-24;2024-10-24;/fr/selection/5385814;;1;200
rapport;Crédit > Endettement et titres;Credit > Debt and securities;Stat info Emission et détention de titres français;Stat info Issuance and holding of French securities;2024-10-24;2024-10-24;/fr/selection/5384494;;1;202
rapport;Crédit > Endettement et titres;Credit > Debt and securities;Stat info Taux d'endettement des agents non financiers - Comparaisons internationales;Stat info Debt ratio of non-financial agents - International comparisons;2024-10-24;2024-10-24;/fr/selection/5384355;;1;205
rapport;Epargne > Assurances > Comptes nationaux financiers annuels;Savings > Insurance > Annual national financial accounts;Stat info Placements financiers des sociétés d’assurance;Stat info Financial investments of insurance companies;2024-10-24;2024-10-24;/fr/selection/5384484;;1;210
rapport;Epargne > Dépôts > Régions;Savings > Deposits > Regions;Région Auvergne Rhone alpes;Auvergne Rhone Alpes region;2024-10-24;2024-10-24;/fr/selection/5385818;;1;213
rapport;Epargne > Dépôts > Régions;Savings > Deposits > Regions;Région Bretagne;Brittany region;2024-10-24;2024-10-24;/fr/selection/5385820;;1;215
rapport;Epargne > Dépôts > Régions;Savings > Deposits > Regions;Région Corse;Corsica region;2024-10-24;2024-10-24;/fr/selection/5385822;;1;217
rapport;Epargne > Dépôts > Régions;Savings > Deposits > Regions;Région Ile-de-France;Region Ile-de-France;2024-10-24;2024-10-24;/fr/selection/5385825;;1;220
rapport;Epargne > Dépôts > Régions;Savings > Deposits > Regions;Région Normandie;Normandy Region;2024-10-24;2024-10-24;/fr/selection/5385826;;1;221
rapport;Monnaie > Statistiques monétaires > France;Currency > Monetary statistics > France;Bilan des institutions financières et monétaires hors Banque de France;Balance sheet of financial and monetary institutions outside the Banque de France;2024-10-24;2024-10-24;/fr/selection/5385727;;1;231
rapport;SDDS Plus > Indicateurs externes;SDDS Plus > External indicators;Position extérieure;External position;2024-10-24;2024-10-24;/fr/selection/5384900;;1;238
rapport;SDDS Plus > Indicateurs externes;SDDS Plus > External indicators;Réserves de change et disponibilités en devises;Foreign exchange reserves and cash in foreign currencies;2024-10-24;2024-10-24;/fr/selection/5384926;;1;239
rapport;SDDS Plus > Indicateurs externes;SDDS Plus > External indicators;Taux de change;Exchange rates;2024-10-24;2024-10-24;/fr/selection/5384905;;1;240
rapport;SDDS Plus > Secteur public;SDDS Plus > Public sector;Comptes de la Banque centrale;Central Bank accounts;2024-10-24;2024-10-24;/fr/selection/5384891;;1;241
rapport;SDDS Plus > Secteur public;SDDS Plus > Public sector;Opérations des APU (trimestriel);APU operations (quarterly);2024-10-24;2024-10-24;/fr/selection/5384929;;1;247
rapport;SDDS Plus > Secteur public;SDDS Plus > Public sector;Taux d'intérêt;Interest rates;2024-10-24;2024-10-24;/fr/selection/5384895;;1;248
rapport;Taux et cours;Rates and prices;Cours de l'or;Gold price;2024-10-24;2024-10-24;/fr/selection/5385702;;1;251
rapport;Taux et cours > Taux de change;Rates and prices > Exchange rates;Parités quotidiennes;Daily parities;2024-10-24;2024-10-24;/fr/selection/5385698;;1;256
rapport;Taux et cours > Taux d'intérêt de marché > Indices obligataires;Rates and prices > Market interest rates > Bond indices;Indices hebdomadaires;Weekly indices;2024-10-24;2024-10-24;/fr/selection/5385694;;1;259
rapport;Taux et cours > Taux d'intérêt de marché > Indices obligataires;Rates and prices > Market interest rates > Bond indices;Indices mensuels;Monthly indices;2024-10-24;2024-10-24;/fr/selection/5385695;;1;260
